Date : 2025-10-01 12:48:48
Directory : c:\Users\ashis\autoform
Total : 95 files,  13185 codes, 121 comments, 2344 blanks, all 15650 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ashis\autoform\components\ui\scroll-area.tsx                     | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\ashis\autoform\components\ui\select.tsx                          | TypeScript JSX     |        172 |          0 |         14 |        186 |
| c:\Users\ashis\autoform\components\ui\separator.tsx                       | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\ashis\autoform\components\ui\sheet.tsx                           | TypeScript JSX     |        126 |          0 |         14 |        140 |
| c:\Users\ashis\autoform\components\ui\sidebar.tsx                         | TypeScript JSX     |        660 |         12 |         55 |        727 |
| c:\Users\ashis\autoform\components\ui\skeleton.tsx                        | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\ashis\autoform\components\ui\sonner.tsx                          | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\ashis\autoform\components\ui\table.tsx                           | TypeScript JSX     |        105 |          0 |         12 |        117 |
| c:\Users\ashis\autoform\components\ui\tabs.tsx                            | TypeScript JSX     |         59 |          0 |          8 |         67 |
| c:\Users\ashis\autoform\components\ui\textarea.tsx                        | TypeScript JSX     |         15 |          0 |          4 |         19 |
| c:\Users\ashis\autoform\components\ui\tooltip.tsx                         | TypeScript JSX     |         54 |          0 |          8 |         62 |
| c:\Users\ashis\autoform\drizzle.config.ts                                 | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\ashis\autoform\eslint.config.mjs                                 | JavaScript         |         12 |          0 |          5 |         17 |
| c:\Users\ashis\autoform\hooks\use-mobile.ts                               | TypeScript         |         15 |          0 |          5 |         20 |
| c:\Users\ashis\autoform\lib\actions\create-user.ts                        | TypeScript         |         39 |          0 |         10 |         49 |
| c:\Users\ashis\autoform\lib\actions\get-resume.ts                         | TypeScript         |         13 |          0 |          3 |         16 |
