"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "YAML", "comment", "blank", "total"
"c:\Users\ashis\autoform\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\ashis\autoform\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 8, 62
"c:\Users\ashis\autoform\drizzle.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ashis\autoform\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\ashis\autoform\hooks\use-mobile.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\ashis\autoform\lib\actions\create-user.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\Users\ashis\autoform\lib\actions\get-resume.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ashis\autoform\lib\actions\loginuser.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\ashis\autoform\lib\actions\persona.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 125
"c:\Users\ashis\autoform\lib\actions\resume-parse.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\ashis\autoform\lib\api.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ashis\autoform\lib\cloudinary.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\ashis\autoform\lib\db\db.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ashis\autoform\lib\db\schema.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 129
"c:\Users\ashis\autoform\lib\types\Dashboard.types.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ashis\autoform\lib\types\persona.types.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\ashis\autoform\lib\types\simple-resume-parser.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ashis\autoform\lib\types\user.types.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\ashis\autoform\lib\utils.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ashis\autoform\middleware.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ashis\autoform\next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\ashis\autoform\package.json", "JSON", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 1, 76
"c:\Users\ashis\autoform\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6483, 0, 1677, 8160
"c:\Users\ashis\autoform\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ashis\autoform\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\google.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\store\state.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\ashis\autoform\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\ashis\autoform\utils\cookies.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\ashis\autoform\utils\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 897, 27, 23, 6, 16, 96, 5471, 166, 6483, 121, 2344, 15650
